 ,,,,,,,,,,,,,,,,,,,
,Improve 24V 200Ah (Bluetooth-LCD).pdf,Marca:  Improve,Modelo ,IMP12-100-BL,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),12.8V / 100Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,2 años,$336.85,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,3.000 a 4.000 ciclos completos descargando al 80% (DOD),,,,,,,,,,,,,,,
,,Capacidad:  1.28 kWh,Dimenciones (cm) ,32.8 x 17.2 x 21.5,,,,,,,,,,,,,,,
,,, peso (Kg),11.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 2.5 KWh,,,,,,,,,,,,,,,,,,,
,Improve 24V 200Ah (Bluetooth-LCD).pdf,Marca:  Improve,Modelo ,IMP24-100-BL,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),25.6V / 100Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,2 años,$623.69,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,3.000 a 4.000 ciclos completos descargando al 80% (DOD),,,,,,,,,,,,,,,
,,Capacidad:   2.56 kWh,Dimenciones (cm) ,48.3 x 17.0 x 24.0,,,,,,,,,,,,,,,
,,, peso (Kg),21,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca:  Rarlon,Modelo ,XX-C-BM-100HW 1P8S-A01,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),25.6V  /  100Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"5 años
",------,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos al 80% DoD (Profundidad de descarga) a 25°C.,,,,,,,,,,,,,,,
,,Capacidad:   2.5 KWh,Dimenciones (cm) , 33.0 x 14.6 x 47.5 ,,,,,,,,,,,,,,,
,,, peso (Kg),31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca:  SUNC SOLAR,Modelo ,SCAE-A-25.6-100,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),25.6V  /  100Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"5 años
",$305.00,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos al 80% DoD (Profundidad de descarga) ,,,,,,,,,,,,,,,
,,Capacidad:   2.5 KWh,Dimenciones (cm) ,36 x 19.5 x 42,,,,,,,,,,,,,,,
,,, peso (Kg),34.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 5 KWh,,,,,,,,,,,,,,,,,,,
,Improve 24V 200Ah (Bluetooth-LCD).pdf,Marca:  Improve,Modelo ,IMP24-200-BL,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),25.6V / 200Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,150A ~ 200A                                                                         (Consultar con el vendedor),,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
2 años
","$1,177.80",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4/ Celdas Prismáticas,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil, mayor o igual 3000 a 4000 ciclos al 80% DoD (Profundidad de descarga) ,,,,,,,,,,,,,,,
,,Capacidad:   5.12 kWh,Dimenciones (cm) ,52.2 x 24.0 x 21.8,,,,,,,,,,,,,,,
,,, peso (Kg),36.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Marca:  Improve,Modelo ,IMP51.2-100R,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V / 100Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
2 años
","$1,337.31",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4/ Celdas Prismáticas,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos al 80% DoD (Profundidad de descarga) ,,,,,,,,,,,,,,,
,,Capacidad:   5.12 kWh,Dimenciones (cm) ,44.2 x 48.0 x 13.3,,,,,,,,,,,,,,,
,,, peso (Kg),41.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Marca:  BSLbatt,Modelo ,B-LFP48-100E,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V / 100Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"5 años
","$1,490.50",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4/ Celdas Prismáticas,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos al 80% DoD (Profundidad de descarga) ,,,,,,,,,,,,,,,
,,Capacidad:   5.12 kWh,Dimenciones (cm) ,40.5 x 18.5 x 58,,,,,,,,,,,,,,,
,,, peso (Kg),43,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca:  SUNC SOLAR,Modelo ,SCAE-A-25.6-100,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),25.6V  /  200Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"5 años
",$526.00,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos al 80% DoD (Profundidad de descarga) ,,,,,,,,,,,,,,,
,,Capacidad:   5.12 kWh,Dimenciones (cm) ,$44.2 x 52.0 x 17.7,,,,,,,,,,,,,,,
,,, peso (Kg),No especificado,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca:  SUNC SOLAR,Modelo ,SCAE-A-51.2-100,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  /  100Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,100A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"5 años
",$526.00,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,6.000 ciclos al 80% DoD (Profundidad de descarga) ,,,,,,,,,,,,,,,
